fiscalYear,code,codeDotted,billable,category,shortTitle,longTitle
2017,A925,A92.5,true,A92,Zika virus disease,Zika virus disease
2017,C49A,C49.A,false,C49,Gastrointestinal stromal tumor,Gastrointestinal stromal tumor
2017,C49A0,C49.A0,true,C49,"Gastrointestinal stromal tumor, unspecified site","Gastrointestinal stromal tumor, unspecified site"
2017,C49A1,C49.A1,true,C49,Gastrointestinal stromal tumor of esophagus,Gastrointestinal stromal tumor of esophagus
2017,C49A2,C49.A2,true,C49,Gastrointestinal stromal tumor of stomach,Gastrointestinal stromal tumor of stomach
2017,C49A3,C49.A3,true,C49,Gastrointestinal stromal tumor of small intestine,Gastrointestinal stromal tumor of small intestine
2017,C49A4,C49.A4,true,C49,Gastrointestinal stromal tumor of large intestine,Gastrointestinal stromal tumor of large intestine
2017,C49A5,C49.A5,true,C49,Gastrointestinal stromal tumor of rectum,Gastrointestinal stromal tumor of rectum
2017,C49A9,C49.A9,true,C49,Gastrointestinal stromal tumor of other sites,Gastrointestinal stromal tumor of other sites
2017,D47Z2,D47.Z2,true,D47,Castleman disease,Castleman disease
2017,D4951,D49.51,false,D49,Neoplasm of unspecified behavior of kidney,Neoplasm of unspecified behavior of kidney
2017,D49511,D49.511,true,D49,Neoplasm of unspecified behavior of right kidney,Neoplasm of unspecified behavior of right kidney
2017,D49512,D49.512,true,D49,Neoplasm of unspecified behavior of left kidney,Neoplasm of unspecified behavior of left kidney
2017,D49519,D49.519,true,D49,Neoplasm of unspecified behavior of unspecified kidney,Neoplasm of unspecified behavior of unspecified kidney
2017,D4959,D49.59,true,D49,Neoplasm of unspecified behavior of other GU organ,Neoplasm of unspecified behavior of other genitourinary organ
2017,D783,D78.3,false,D78,Postproc hematoma and seroma of the spleen fol a procedure,Postprocedural hematoma and seroma of the spleen following a procedure
2017,D7831,D78.31,true,D78,Postprocedural hematoma of the spleen fol proc on spleen,Postprocedural hematoma of the spleen following a procedure on the spleen
