fiscalYear,code,codeDotted,wasBillable,category,shortTitle,longTitle
2017,H4011X0,H40.11X0,true,H40,"Primary open-angle glaucoma, stage unspecified","Primary open-angle glaucoma, stage unspecified"
2017,H4011X1,H40.11X1,true,H40,"Primary open-angle glaucoma, mild stage","Primary open-angle glaucoma, mild stage"
2017,H4011X2,H40.11X2,true,H40,"Primary open-angle glaucoma, moderate stage","Primary open-angle glaucoma, moderate stage"
2017,H4011X3,H40.11X3,true,H40,"Primary open-angle glaucoma, severe stage","Primary open-angle glaucoma, severe stage"
2017,H4011X4,H40.11X4,true,H40,"Primary open-angle glaucoma, indeterminate stage","Primary open-angle glaucoma, indeterminate stage"
2017,I6020,I60.20,true,I60,Ntrm subarach hemor from unsp anterior communicating artery,Nontraumatic subarachnoid hemorrhage from unspecified anterior communicating artery
2017,I6021,I60.21,true,I60,Ntrm subarach hemor from right anterior communicating artery,Nontraumatic subarachnoid hemorrhage from right anterior communicating artery
2017,I6022,I60.22,true,I60,Ntrm subarach hemor from left anterior communicating artery,Nontraumatic subarachnoid hemorrhage from left anterior communicating artery
2017,S0210XA,S02.10XA,true,S02,"Unsp fracture of base of skull, init for clos fx","Unspecified fracture of base of skull, initial encounter for closed fracture"
2017,S0210XB,S02.10XB,true,S02,"Unsp fracture of base of skull, init for opn fx","Unspecified fracture of base of skull, initial encounter for open fracture"
2017,S0210XD,S02.10XD,true,S02,"Unsp fracture of base of skull, subs for fx w routn heal","Unspecified fracture of base of skull, subsequent encounter for fracture with routine healing"
2017,S0210XG,S02.10XG,true,S02,"Unsp fracture of base of skull, subs for fx w delay heal","Unspecified fracture of base of skull, subsequent encounter for fracture with delayed healing"
2017,S0210XK,S02.10XK,true,S02,"Unsp fracture of base of skull, subs for fx w nonunion","Unspecified fracture of base of skull, subsequent encounter for fracture with nonunion"
2017,S0210XS,S02.10XS,true,S02,"Unspecified fracture of base of skull, sequela","Unspecified fracture of base of skull, sequela"
2017,S023XXA,S02.3XXA,true,S02,"Fracture of orbital floor, init encntr for closed fracture","Fracture of orbital floor, initial encounter for closed fracture"
2017,S023XXB,S02.3XXB,true,S02,"Fracture of orbital floor, init encntr for open fracture","Fracture of orbital floor, initial encounter for open fracture"
2017,S023XXD,S02.3XXD,true,S02,"Fracture of orbital floor, subs for fx w routn heal","Fracture of orbital floor, subsequent encounter for fracture with routine healing"
2017,S023XXG,S02.3XXG,true,S02,"Fracture of orbital floor, subs for fx w delay heal","Fracture of orbital floor, subsequent encounter for fracture with delayed healing"
2017,S023XXK,S02.3XXK,true,S02,"Fracture of orbital floor, subs for fx w nonunion","Fracture of orbital floor, subsequent encounter for fracture with nonunion"
2017,S023XXS,S02.3XXS,true,S02,"Fracture of orbital floor, sequela","Fracture of orbital floor, sequela"
2017,S0261XA,S02.61XA,true,S02,"Fracture of condylar process of mandible, init for clos fx","Fracture of condylar process of mandible, initial encounter for closed fracture"
2017,S0261XB,S02.61XB,true,S02,"Fracture of condylar process of mandible, init for opn fx","Fracture of condylar process of mandible, initial encounter for open fracture"
2017,S0261XD,S02.61XD,true,S02,"Fx condylar process of mandible, subs for fx w routn heal","Fracture of condylar process of mandible, subsequent encounter for fracture with routine healing"
2017,S0261XG,S02.61XG,true,S02,"Fx condylar process of mandible, subs for fx w delay heal","Fracture of condylar process of mandible, subsequent encounter for fracture with delayed healing"
2017,S0261XK,S02.61XK,true,S02,"Fx condylar process of mandible, subs for fx w nonunion","Fracture of condylar process of mandible, subsequent encounter for fracture with nonunion"
2017,S0261XS,S02.61XS,true,S02,"Fracture of condylar process of mandible, sequela","Fracture of condylar process of mandible, sequela"
2017,S0262XA,S02.62XA,true,S02,"Fracture of subcondylar process of mandible, init","Fracture of subcondylar process of mandible, initial encounter for closed fracture"
2017,S0262XB,S02.62XB,true,S02,"Fracture of subcondylar process of mandible, init for opn fx","Fracture of subcondylar process of mandible, initial encounter for open fracture"
2017,S0262XD,S02.62XD,true,S02,"Fx subcondylar process of mandible, subs for fx w routn heal","Fracture of subcondylar process of mandible, subsequent encounter for fracture with routine healing"
2017,S0262XG,S02.62XG,true,S02,"Fx subcondylar process of mandible, subs for fx w delay heal","Fracture of subcondylar process of mandible, subsequent encounter for fracture with delayed healing"
2017,S0262XK,S02.62XK,true,S02,"Fx subcondylar process of mandible, subs for fx w nonunion","Fracture of subcondylar process of mandible, subsequent encounter for fracture with nonunion"
2017,S0262XS,S02.62XS,true,S02,"Fracture of subcondylar process of mandible, sequela","Fracture of subcondylar process of mandible, sequela"
2017,S0263XA,S02.63XA,true,S02,"Fracture of coronoid process of mandible, init for clos fx","Fracture of coronoid process of mandible, initial encounter for closed fracture"
2017,S0263XB,S02.63XB,true,S02,"Fracture of coronoid process of mandible, init for opn fx","Fracture of coronoid process of mandible, initial encounter for open fracture"
2017,S0263XD,S02.63XD,true,S02,"Fx coronoid process of mandible, subs for fx w routn heal","Fracture of coronoid process of mandible, subsequent encounter for fracture with routine healing"
2017,S0263XG,S02.63XG,true,S02,"Fx coronoid process of mandible, subs for fx w delay heal","Fracture of coronoid process of mandible, subsequent encounter for fracture with delayed healing"
2017,S0263XK,S02.63XK,true,S02,"Fx coronoid process of mandible, subs for fx w nonunion","Fracture of coronoid process of mandible, subsequent encounter for fracture with nonunion"
2017,S0263XS,S02.63XS,true,S02,"Fracture of coronoid process of mandible, sequela","Fracture of coronoid process of mandible, sequela"
2017,S0264XA,S02.64XA,true,S02,"Fracture of ramus of mandible, init for clos fx","Fracture of ramus of mandible, initial encounter for closed fracture"
2017,S0264XB,S02.64XB,true,S02,"Fracture of ramus of mandible, init encntr for open fracture","Fracture of ramus of mandible, initial encounter for open fracture"
2017,S0264XD,S02.64XD,true,S02,"Fracture of ramus of mandible, subs for fx w routn heal","Fracture of ramus of mandible, subsequent encounter for fracture with routine healing"
2017,S0264XG,S02.64XG,true,S02,"Fracture of ramus of mandible, subs for fx w delay heal","Fracture of ramus of mandible, subsequent encounter for fracture with delayed healing"
2017,S0264XK,S02.64XK,true,S02,"Fracture of ramus of mandible, subs for fx w nonunion","Fracture of ramus of mandible, subsequent encounter for fracture with nonunion"
2017,S0264XS,S02.64XS,true,S02,"Fracture of ramus of mandible, sequela","Fracture of ramus of mandible, sequela"
2017,S0265XA,S02.65XA,true,S02,"Fracture of angle of mandible, init for clos fx","Fracture of angle of mandible, initial encounter for closed fracture"
2017,S0265XB,S02.65XB,true,S02,"Fracture of angle of mandible, init encntr for open fracture","Fracture of angle of mandible, initial encounter for open fracture"
2017,S0265XD,S02.65XD,true,S02,"Fracture of angle of mandible, subs for fx w routn heal","Fracture of angle of mandible, subsequent encounter for fracture with routine healing"
2017,S0265XG,S02.65XG,true,S02,"Fracture of angle of mandible, subs for fx w delay heal","Fracture of angle of mandible, subsequent encounter for fracture with delayed healing"
2017,S0265XK,S02.65XK,true,S02,"Fracture of angle of mandible, subs for fx w nonunion","Fracture of angle of mandible, subsequent encounter for fracture with nonunion"
2017,S0265XS,S02.65XS,true,S02,"Fracture of angle of mandible, sequela","Fracture of angle of mandible, sequela"
2017,S0267XA,S02.67XA,true,S02,"Fracture of alveolus of mandible, init for clos fx","Fracture of alveolus of mandible, initial encounter for closed fracture"
2017,S0267XB,S02.67XB,true,S02,"Fracture of alveolus of mandible, init for opn fx","Fracture of alveolus of mandible, initial encounter for open fracture"
2017,S0267XD,S02.67XD,true,S02,"Fracture of alveolus of mandible, subs for fx w routn heal","Fracture of alveolus of mandible, subsequent encounter for fracture with routine healing"
2017,S0267XG,S02.67XG,true,S02,"Fracture of alveolus of mandible, subs for fx w delay heal","Fracture of alveolus of mandible, subsequent encounter for fracture with delayed healing"
2017,S0267XK,S02.67XK,true,S02,"Fracture of alveolus of mandible, subs for fx w nonunion","Fracture of alveolus of mandible, subsequent encounter for fracture with nonunion"
2017,S0267XS,S02.67XS,true,S02,"Fracture of alveolus of mandible, sequela","Fracture of alveolus of mandible, sequela"
2017,S028XXA,S02.8XXA,true,S02,"Fractures of oth skull and facial bones, init for clos fx","Fractures of other specified skull and facial bones, initial encounter for closed fracture"
2017,S028XXB,S02.8XXB,true,S02,"Fractures of oth skull and facial bones, init for opn fx","Fractures of other specified skull and facial bones, initial encounter for open fracture"
2017,S028XXD,S02.8XXD,true,S02,"Fx of skull and facial bones, subs for fx w routn heal","Fractures of other specified skull and facial bones, subsequent encounter for fracture with routine healing"
2017,S028XXG,S02.8XXG,true,S02,"Fx of skull and facial bones, subs for fx w delay heal","Fractures of other specified skull and facial bones, subsequent encounter for fracture with delayed healing"
2017,S028XXK,S02.8XXK,true,S02,"Fractures of skull and facial bones, subs for fx w nonunion","Fractures of other specified skull and facial bones, subsequent encounter for fracture with nonunion"
2017,S028XXS,S02.8XXS,true,S02,"Fractures of other specified skull and facial bones, sequela","Fractures of other specified skull and facial bones, sequela"
2017,S030XXA,S03.0XXA,true,S03,"Dislocation of jaw, initial encounter","Dislocation of jaw, initial encounter"
2017,S030XXD,S03.0XXD,true,S03,"Dislocation of jaw, subsequent encounter","Dislocation of jaw, subsequent encounter"
2017,S030XXS,S03.0XXS,true,S03,"Dislocation of jaw, sequela","Dislocation of jaw, sequela"
2017,S034XXA,S03.4XXA,true,S03,"Sprain of jaw, initial encounter","Sprain of jaw, initial encounter"
2017,S034XXD,S03.4XXD,true,S03,"Sprain of jaw, subsequent encounter","Sprain of jaw, subsequent encounter"
2017,S034XXS,S03.4XXS,true,S03,"Sprain of jaw, sequela","Sprain of jaw, sequela"
2017,S060X2,S06.0X2,false,S06,Concussion w loss of consciousness of 31-59 min,Concussion with loss of consciousness of 31 minutes to 59 minutes
2017,S060X2A,S06.0X2A,true,S06,"Concussion w loss of consciousness of 31-59 min, init","Concussion with loss of consciousness of 31 minutes to 59 minutes, initial encounter"
2017,S060X2D,S06.0X2D,true,S06,"Concussion w loss of consciousness of 31-59 min, subs","Concussion with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter"
2017,S060X2S,S06.0X2S,true,S06,"Concussion w loss of consciousness of 31-59 min, sequela","Concussion with loss of consciousness of 31 minutes to 59 minutes, sequela"
2017,S060X3,S06.0X3,false,S06,Concussion w loss of consciousness of 1-5 hrs 59 min,Concussion with loss of consciousness of 1 hour to 5 hours 59 minutes
2017,S060X3A,S06.0X3A,true,S06,"Concussion w loss of consciousness of 1-5 hrs 59 min, init","Concussion with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter"
2017,S060X3D,S06.0X3D,true,S06,"Concussion w loss of consciousness of 1-5 hrs 59 min, subs","Concussion with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter"
2017,S060X3S,S06.0X3S,true,S06,"Concussion w LOC of 1-5 hrs 59 min, sequela","Concussion with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela"
2017,S060X4,S06.0X4,false,S06,Concussion with loss of consciousness of 6 hours to 24 hours,Concussion with loss of consciousness of 6 hours to 24 hours
2017,S060X4A,S06.0X4A,true,S06,"Concussion w LOC of 6 hours to 24 hours, init","Concussion with loss of consciousness of 6 hours to 24 hours, initial encounter"
2017,S060X4D,S06.0X4D,true,S06,"Concussion w LOC of 6 hours to 24 hours, subs","Concussion with loss of consciousness of 6 hours to 24 hours, subsequent encounter"
2017,S060X4S,S06.0X4S,true,S06,"Concussion w LOC of 6 hours to 24 hours, sequela","Concussion with loss of consciousness of 6 hours to 24 hours, sequela"
2017,S060X5,S06.0X5,false,S06,Concussion w loss of consciousness >24 hr w ret consc lev,Concussion with loss of consciousness greater than 24 hours with return to pre-existing conscious level
2017,S060X5A,S06.0X5A,true,S06,"Concussion w LOC >24 hr w ret consc lev, init","Concussion with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter"
2017,S060X5D,S06.0X5D,true,S06,"Concussion w LOC >24 hr w ret consc lev, subs","Concussion with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter"
2017,S060X5S,S06.0X5S,true,S06,"Concussion w LOC >24 hr w ret consc lev, sequela","Concussion with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela"
2017,S060X6,S06.0X6,false,S06,Concussion w LOC >24 hr w/o ret consc w surv,Concussion with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving
2017,S060X6A,S06.0X6A,true,S06,"Concussion w LOC >24 hr w/o ret consc w surv, init","Concussion with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter"
2017,S060X6D,S06.0X6D,true,S06,"Concussion w LOC >24 hr w/o ret consc w surv, subs","Concussion with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter"
2017,S060X6S,S06.0X6S,true,S06,"Concussion w LOC >24 hr w/o ret consc w surv, sequela","Concussion with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela"
2017,S060X7,S06.0X7,false,S06,Concussion w LOC w death due to brain injury bf consc,Concussion with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness
2017,S060X7A,S06.0X7A,true,S06,"Concussion w LOC w death due to brain injury bf consc, init","Concussion with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter"
2017,S060X7D,S06.0X7D,true,S06,"Concussion w LOC w death due to brain injury bf consc, subs","Concussion with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, subsequent encounter"
2017,S060X7S,S06.0X7S,true,S06,"Concuss w LOC w death due to brain injury bf consc, sequela","Concussion with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, sequela"
2017,S060X8,S06.0X8,false,S06,Concussion w LOC w death due to oth cause bf consc,Concussion with loss of consciousness of any duration with death due to other cause prior to regaining consciousness
2017,S060X8A,S06.0X8A,true,S06,"Concussion w LOC w death due to oth cause bf consc, init","Concussion with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter"
2017,S060X8D,S06.0X8D,true,S06,"Concussion w LOC w death due to oth cause bf consc, subs","Concussion with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, subsequent encounter"
2017,S060X8S,S06.0X8S,true,S06,"Concussion w LOC w death due to oth cause bf consc, sequela","Concussion with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, sequela"
2017,T8351XA,T83.51XA,true,T83,"Infect/inflm reaction due to indwell urinary catheter, init","Infection and inflammatory reaction due to indwelling urinary catheter, initial encounter"
2017,T8351XD,T83.51XD,true,T83,"Infect/inflm reaction due to indwell urinary catheter, subs","Infection and inflammatory reaction due to indwelling urinary catheter, subsequent encounter"
2017,T8351XS,T83.51XS,true,T83,"Infect/inflm reaction due to indwell urinary cath, sequela","Infection and inflammatory reaction due to indwelling urinary catheter, sequela"
2017,T8359XA,T83.59XA,true,T83,"Infect/inflm react d/t prosth dev/grft in urinry sys, init","Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system, initial encounter"
2017,T8359XD,T83.59XD,true,T83,"Infect/inflm react d/t prosth dev/grft in urinry sys, subs","Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system, subsequent encounter"
2017,T8359XS,T83.59XS,true,T83,"Infect/inflm react d/t prosth dev/grft in urinry sys, sqla","Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system, sequela"
2017,T836XXA,T83.6XXA,true,T83,"Infect/inflm react d/t prosth dev/grft in genitl trct, init","Infection and inflammatory reaction due to prosthetic device, implant and graft in genital tract, initial encounter"
2017,T836XXD,T83.6XXD,true,T83,"Infect/inflm react d/t prosth dev/grft in genitl trct, subs","Infection and inflammatory reaction due to prosthetic device, implant and graft in genital tract, subsequent encounter"
2017,T836XXS,T83.6XXS,true,T83,"Infect/inflm react d/t prosth dev/grft in genitl trct, sqla","Infection and inflammatory reaction due to prosthetic device, implant and graft in genital tract, sequela"
2017,T8404,T84.04,false,T84,Periprosthetic fracture around internal prosthetic joint,Periprosthetic fracture around internal prosthetic joint
2017,T84040,T84.040,false,T84,Periprosthetic fracture around internal prosthetic r hip jt,Periprosthetic fracture around internal prosthetic right hip joint
2017,T84040A,T84.040A,true,T84,"Periprosth fracture around internal prosth r hip jt, init","Periprosthetic fracture around internal prosthetic right hip joint, initial encounter"
