fiscalYear,code,codeDotted,billable,previousLongTitle,newLongTitle,previousShortTitle,newShortTitle
2017,C7A094,C7A.094,true,Malignant carcinoid tumor of the foregut NOS,"Malignant carcinoid tumor of the foregut, unspecified",Malignant carcinoid tumor of the foregut NOS,"Malignant carcinoid tumor of the foregut, unspecified"
2017,C7A095,C7A.095,true,Malignant carcinoid tumor of the midgut NOS,"Malignant carcinoid tumor of the midgut, unspecified",Malignant carcinoid tumor of the midgut NOS,"Malignant carcinoid tumor of the midgut, unspecified"
2017,C7A096,C7A.096,true,Malignant carcinoid tumor of the hindgut NOS,"Malignant carcinoid tumor of the hindgut, unspecified",Malignant carcinoid tumor of the hindgut NOS,"Malignant carcinoid tumor of the hindgut, unspecified"
2017,C811,C81.1,false,Nodular sclerosis classical Hodgkin lymphoma,Nodular sclerosis Hodgkin lymphoma,Nodular sclerosis classical Hodgkin lymphoma,Nodular sclerosis Hodgkin lymphoma
2017,C8110,C81.10,true,"Nodular sclerosis classical Hodgkin lymphoma, unspecified site","Nodular sclerosis Hodgkin lymphoma, unspecified site","Nodular sclerosis classical Hodgkin lymphoma, unsp site","Nodular sclerosis Hodgkin lymphoma, unspecified site"
2017,C8111,C81.11,true,"Nodular sclerosis classical Hodgkin lymphoma, lymph nodes of head, face, and neck","Nodular sclerosis Hodgkin lymphoma, lymph nodes of head, face, and neck","Nodlr scler class Hdgkn lymph, nodes of head, face, and neck","Nodular scler Hodgkin lymph, nodes of head, face, and neck"
2017,C8112,C81.12,true,"Nodular sclerosis classical Hodgkin lymphoma, intrathoracic lymph nodes","Nodular sclerosis Hodgkin lymphoma, intrathoracic lymph nodes","Nodular sclerosis class Hodgkin lymphoma, intrathorac nodes","Nodular sclerosis Hodgkin lymphoma, intrathorac lymph nodes"
2017,C8113,C81.13,true,"Nodular sclerosis classical Hodgkin lymphoma, intra-abdominal lymph nodes","Nodular sclerosis Hodgkin lymphoma, intra-abdominal lymph nodes","Nodular sclerosis class Hodgkin lymphoma, intra-abd nodes","Nodular sclerosis Hodgkin lymphoma, intra-abd lymph nodes"
2017,C8114,C81.14,true,"Nodular sclerosis classical Hodgkin lymphoma, lymph nodes of axilla and upper limb","Nodular sclerosis Hodgkin lymphoma, lymph nodes of axilla and upper limb","Nodlr scler class Hdgkn lymph, nodes of axla and upper limb","Nodular scler Hodgkin lymph, nodes of axilla and upper limb"
2017,C8115,C81.15,true,"Nodular sclerosis classical Hodgkin lymphoma, lymph nodes of inguinal region and lower limb","Nodular sclerosis Hodgkin lymphoma, lymph nodes of inguinal region and lower limb","Nodlr scler class Hdgkn lymph, nodes of ing rgn and low limb","Nodlr scler Hdgkn lymph, nodes of ing region and lower limb"
2017,C8116,C81.16,true,"Nodular sclerosis classical Hodgkin lymphoma, intrapelvic lymph nodes","Nodular sclerosis Hodgkin lymphoma, intrapelvic lymph nodes","Nodular sclerosis class Hodgkin lymphoma, intrapelv nodes","Nodular sclerosis Hodgkin lymphoma, intrapelvic lymph nodes"
2017,C8117,C81.17,true,"Nodular sclerosis classical Hodgkin lymphoma, spleen","Nodular sclerosis Hodgkin lymphoma, spleen","Nodular sclerosis classical Hodgkin lymphoma, spleen","Nodular sclerosis Hodgkin lymphoma, spleen"
2017,C8118,C81.18,true,"Nodular sclerosis classical Hodgkin lymphoma, lymph nodes of multiple sites","Nodular sclerosis Hodgkin lymphoma, lymph nodes of multiple sites","Nodular sclerosis class Hodgkin lymphoma, nodes mult site","Nodular sclerosis Hodgkin lymphoma, lymph nodes mult site"
2017,C8119,C81.19,true,"Nodular sclerosis classical Hodgkin lymphoma, extranodal and solid organ sites","Nodular sclerosis Hodgkin lymphoma, extranodal and solid organ sites","Nodlr scler class Hdgkn lymph, extrnod and solid organ sites","Nodular scler Hodgkin lymph, extrnod and solid organ sites"
2017,C812,C81.2,false,Mixed cellularity classical Hodgkin lymphoma,Mixed cellularity Hodgkin lymphoma,Mixed cellularity classical Hodgkin lymphoma,Mixed cellularity Hodgkin lymphoma
2017,C8120,C81.20,true,"Mixed cellularity classical Hodgkin lymphoma, unspecified site","Mixed cellularity Hodgkin lymphoma, unspecified site","Mixed cellularity classical Hodgkin lymphoma, unsp site","Mixed cellularity Hodgkin lymphoma, unspecified site"
2017,C8121,C81.21,true,"Mixed cellularity classical Hodgkin lymphoma, lymph nodes of head, face, and neck","Mixed cellularity Hodgkin lymphoma, lymph nodes of head, face, and neck","Mix cellular class Hdgkn lymph, nodes of head, face, and nk","Mixed cellular Hodgkin lymph, nodes of head, face, and neck"
2017,C8122,C81.22,true,"Mixed cellularity classical Hodgkin lymphoma, intrathoracic lymph nodes","Mixed cellularity Hodgkin lymphoma, intrathoracic lymph nodes","Mixed cellular classical Hodgkin lymphoma, intrathorac nodes","Mixed cellularity Hodgkin lymphoma, intrathorac lymph nodes"
