fiscalYear,effectiveDate,totalEntriesFrom,totalEntriesTo,added,addedBillable,deleted,deletedBillable,revisedTitles,billableStatusChanges,billableToHeader,headerToBillable
2017,2016-10-01,91737,93830,2305,1973,212,183,553,129,128,1
2018,2017-10-01,93830,94127,419,360,122,108,285,34,34,0
2019,2018-10-01,94127,94444,320,279,3,3,173,48,48,0
2020,2019-10-01,94444,94765,328,272,7,7,36,15,14,1
2021,2020-10-01,94765,95352,613,490,26,19,55,39,39,0
2022,2021-10-01,95352,95528,201,168,25,18,31,16,16,0
2023,2022-10-01,95528,96745,1468,1176,251,251,40,36,36,0
2024,2023-10-01,96745,97296,551,437,0,0,28,32,32,0
2025,2024-10-01,97296,97584,291,252,3,3,15,33,33,0
2026,2025-10-01,97584,98186,614,487,12,12,45,16,16,0
2027,2026-10-01,98186,98403,238,190,21,15,4,15,15,0
