fiscalYear,chapterId,chapterRange,chapterTitle,totalEntries,billableCodes
2016,1,A00-B99,Certain infectious and parasitic diseases,1292,1056
2016,2,C00-D49,Neoplasms,2025,1620
2016,3,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,298,238
2016,4,E00-E89,"Endocrine, nutritional and metabolic diseases",879,675
2016,5,F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",927,724
2016,6,G00-G99,Diseases of the nervous system,792,591
2016,7,H00-H59,Diseases of the eye and adnexa,3135,2432
2016,8,H60-H95,Diseases of the ear and mastoid process,855,642
2016,9,I00-I99,Diseases of the circulatory system,1587,1254
2016,10,J00-J99,Diseases of the respiratory system,436,336
2016,11,K00-K95,Diseases of the digestive system,896,706
2016,12,L00-L99,Diseases of the skin and subcutaneous tissue,950,768
2016,13,M00-M99,Diseases of the musculoskeletal system and connective tissue,8261,6336
2016,14,N00-N99,Diseases of the genitourinary system,726,591
2016,15,O00-O9A,"Pregnancy, childbirth and the puerperium",2687,2155
2016,16,P00-P96,Certain conditions originating in the perinatal period,504,417
2016,17,Q00-QA1,"Congenital malformations, deformations and chromosomal abnormalities",944,790
2016,18,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings",792,639
2016,19,S00-T88,"Injury, poisoning and certain other consequences of external causes",52574,39863
2016,20,V00-Y99,External causes of morbidity,9629,6812
2016,21,Z00-Z99,Factors influencing health status and contact with health services,1548,1178
2016,22,U00-U85,Codes for special purposes (U00-U85),0,0
2017,1,A00-B99,Certain infectious and parasitic diseases,1293,1057
2017,2,C00-D49,Neoplasms,2039,1631
2017,3,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,309,247
2017,4,E00-E89,"Endocrine, nutritional and metabolic diseases",1171,900
2017,5,F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",940,733
2017,6,G00-G99,Diseases of the nervous system,815,613
2017,7,H00-H59,Diseases of the eye and adnexa,3247,2517
2017,8,H60-H95,Diseases of the ear and mastoid process,875,656
2017,9,I00-I99,Diseases of the circulatory system,1671,1329
2017,10,J00-J99,Diseases of the respiratory system,443,341
2017,11,K00-K95,Diseases of the digestive system,990,774
2017,12,L00-L99,Diseases of the skin and subcutaneous tissue,957,774
2017,13,M00-M99,Diseases of the musculoskeletal system and connective tissue,8450,6480
2017,14,N00-N99,Diseases of the genitourinary system,792,640
2017,15,O00-O9A,"Pregnancy, childbirth and the puerperium",2759,2214
2017,16,P00-P96,Certain conditions originating in the perinatal period,506,419
2017,17,Q00-QA1,"Congenital malformations, deformations and chromosomal abnormalities",966,808
2017,18,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings",878,709
2017,19,S00-T88,"Injury, poisoning and certain other consequences of external causes",53516,40619
2017,20,V00-Y99,External causes of morbidity,9621,6810
2017,21,Z00-Z99,Factors influencing health status and contact with health services,1592,1215
2017,22,U00-U85,Codes for special purposes (U00-U85),0,0
2018,1,A00-B99,Certain infectious and parasitic diseases,1295,1058
2018,2,C00-D49,Neoplasms,2046,1636
2018,3,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,309,247
2018,4,E00-E89,"Endocrine, nutritional and metabolic diseases",1177,904
2018,5,F01-F99,"Mental, Behavioral and Neurodevelopmental disorders",950,743
2018,6,G00-G99,Diseases of the nervous system,818,616
2018,7,H00-H59,Diseases of the eye and adnexa,3325,2564
2018,8,H60-H95,Diseases of the ear and mastoid process,875,656
2018,9,I00-I99,Diseases of the circulatory system,1693,1347
2018,10,J00-J99,Diseases of the respiratory system,443,341
2018,11,K00-K95,Diseases of the digestive system,1012,789
2018,12,L00-L99,Diseases of the skin and subcutaneous tissue,1029,846
