code,codeDotted,category,firstFy,lastFy,fiscalYearsPresent,hasGap,firstBillableFy,lastBillableFy,status,titleVersions,longTitle
A00,A00,A00,2016,2027,12,false,,,header,1,Cholera
A000,A00.0,A00,2016,2027,12,false,2016,2027,active,1,"Cholera due to Vibrio cholerae 01, biovar cholerae"
A001,A00.1,A00,2016,2027,12,false,2016,2027,active,1,"Cholera due to Vibrio cholerae 01, biovar eltor"
A009,A00.9,A00,2016,2027,12,false,2016,2027,active,1,"Cholera, unspecified"
A01,A01,A01,2016,2027,12,false,,,header,1,Typhoid and paratyphoid fevers
A010,A01.0,A01,2016,2027,12,false,,,header,1,Typhoid fever
A0100,A01.00,A01,2016,2027,12,false,2016,2027,active,1,"Typhoid fever, unspecified"
A0101,A01.01,A01,2016,2027,12,false,2016,2027,active,1,Typhoid meningitis
A0102,A01.02,A01,2016,2027,12,false,2016,2027,active,1,Typhoid fever with heart involvement
A0103,A01.03,A01,2016,2027,12,false,2016,2027,active,1,Typhoid pneumonia
A0104,A01.04,A01,2016,2027,12,false,2016,2027,active,1,Typhoid arthritis
A0105,A01.05,A01,2016,2027,12,false,2016,2027,active,1,Typhoid osteomyelitis
A0109,A01.09,A01,2016,2027,12,false,2016,2027,active,1,Typhoid fever with other complications
A011,A01.1,A01,2016,2027,12,false,2016,2027,active,1,Paratyphoid fever A
A012,A01.2,A01,2016,2027,12,false,2016,2027,active,1,Paratyphoid fever B
A013,A01.3,A01,2016,2027,12,false,2016,2027,active,1,Paratyphoid fever C
A014,A01.4,A01,2016,2027,12,false,2016,2027,active,1,"Paratyphoid fever, unspecified"
A02,A02,A02,2016,2027,12,false,,,header,1,Other salmonella infections
A020,A02.0,A02,2016,2027,12,false,2016,2027,active,1,Salmonella enteritis
A021,A02.1,A02,2016,2027,12,false,2016,2027,active,1,Salmonella sepsis
A022,A02.2,A02,2016,2027,12,false,,,header,1,Localized salmonella infections
A0220,A02.20,A02,2016,2027,12,false,2016,2027,active,1,"Localized salmonella infection, unspecified"
A0221,A02.21,A02,2016,2027,12,false,2016,2027,active,1,Salmonella meningitis
A0222,A02.22,A02,2016,2027,12,false,2016,2027,active,1,Salmonella pneumonia
A0223,A02.23,A02,2016,2027,12,false,2016,2027,active,1,Salmonella arthritis
A0224,A02.24,A02,2016,2027,12,false,2016,2027,active,1,Salmonella osteomyelitis
A0225,A02.25,A02,2016,2027,12,false,2016,2027,active,1,Salmonella pyelonephritis
A0229,A02.29,A02,2016,2027,12,false,2016,2027,active,1,Salmonella with other localized infection
A028,A02.8,A02,2016,2027,12,false,2016,2027,active,1,Other specified salmonella infections
A029,A02.9,A02,2016,2027,12,false,2016,2027,active,1,"Salmonella infection, unspecified"
A03,A03,A03,2016,2027,12,false,,,header,1,Shigellosis
A030,A03.0,A03,2016,2027,12,false,2016,2027,active,1,Shigellosis due to Shigella dysenteriae
A031,A03.1,A03,2016,2027,12,false,2016,2027,active,1,Shigellosis due to Shigella flexneri
A032,A03.2,A03,2016,2027,12,false,2016,2027,active,1,Shigellosis due to Shigella boydii
A033,A03.3,A03,2016,2027,12,false,2016,2027,active,1,Shigellosis due to Shigella sonnei
A038,A03.8,A03,2016,2027,12,false,2016,2027,active,1,Other shigellosis
A039,A03.9,A03,2016,2027,12,false,2016,2027,active,1,"Shigellosis, unspecified"
A04,A04,A04,2016,2027,12,false,,,header,1,Other bacterial intestinal infections
