code,codeDotted,category,firstFy,lastFy,fiscalYearsPresent,hasGap,firstBillableFy,lastBillableFy,status,titleVersions,longTitle
A047,A04.7,A04,2016,2027,12,false,2016,2017,header,1,Enterocolitis due to Clostridium difficile
A848,A84.8,A84,2016,2027,12,false,2016,2020,header,1,Other tick-borne viral encephalitis
B373,B37.3,B37,2016,2027,12,false,2016,2022,header,1,Candidiasis of vulva and vagina
B600,B60.0,B60,2016,2027,12,false,2016,2020,header,1,Babesiosis
B880,B88.0,B88,2016,2027,12,false,2016,2025,header,1,Other acariasis
C4311,C43.11,C43,2016,2027,12,false,2016,2018,header,1,"Malignant melanoma of right eyelid, including canthus"
C4312,C43.12,C43,2016,2027,12,false,2016,2018,header,1,"Malignant melanoma of left eyelid, including canthus"
C44102,C44.102,C44,2016,2027,12,false,2016,2018,header,1,"Unspecified malignant neoplasm of skin of right eyelid, including canthus"
C44109,C44.109,C44,2016,2027,12,false,2016,2018,header,1,"Unspecified malignant neoplasm of skin of left eyelid, including canthus"
C44112,C44.112,C44,2016,2027,12,false,2016,2018,header,1,"Basal cell carcinoma of skin of right eyelid, including canthus"
C44119,C44.119,C44,2016,2027,12,false,2016,2018,header,1,"Basal cell carcinoma of skin of left eyelid, including canthus"
C44122,C44.122,C44,2016,2027,12,false,2016,2018,header,1,"Squamous cell carcinoma of skin of right eyelid, including canthus"
C44129,C44.129,C44,2016,2027,12,false,2016,2018,header,1,"Squamous cell carcinoma of skin of left eyelid, including canthus"
C44192,C44.192,C44,2016,2027,12,false,2016,2018,header,1,"Other specified malignant neoplasm of skin of right eyelid, including canthus"
C44199,C44.199,C44,2016,2027,12,false,2016,2018,header,1,"Other specified malignant neoplasm of skin of left eyelid, including canthus"
C4A11,C4A.11,C4A,2016,2027,12,false,2016,2018,header,1,"Merkel cell carcinoma of right eyelid, including canthus"
C4A12,C4A.12,C4A,2016,2027,12,false,2016,2018,header,1,"Merkel cell carcinoma of left eyelid, including canthus"
C8339,C83.39,C83,2016,2027,12,false,2016,2024,header,1,"Diffuse large B-cell lymphoma, extranodal and solid organ sites"
C860,C86.0,C86,2016,2027,12,false,2016,2024,header,1,"Extranodal NK/T-cell lymphoma, nasal type"
C861,C86.1,C86,2016,2027,12,false,2016,2024,header,1,Hepatosplenic T-cell lymphoma
C862,C86.2,C86,2016,2027,12,false,2016,2024,header,1,Enteropathy-type (intestinal) T-cell lymphoma
