chapter,code,codeTitle,noteType,noteText,referencedCodes,referencedCategories
1,A04,Other bacterial intestinal infections,excludes1,"bacterial foodborne intoxications, NEC (A05.-)",A05.-,A05
1,A04,Other bacterial intestinal infections,excludes1,tuberculous enteritis (A18.32),A18.32,A18
1,A04.6,Enteritis due to Yersinia enterocolitica,excludes1,extraintestinal yersiniosis (A28.2),A28.2,A28
1,A05,"Other bacterial foodborne intoxications, not elsewhere classified",excludes1,Clostridium difficile foodborne intoxication and infection (A04.7-),A04.7-,A04
1,A05,"Other bacterial foodborne intoxications, not elsewhere classified",excludes1,Escherichia coli infection (A04.0-A04.4),A04.0-A04.4,A04
1,A05,"Other bacterial foodborne intoxications, not elsewhere classified",excludes1,listeriosis (A32.-),A32.-,A32
1,A05,"Other bacterial foodborne intoxications, not elsewhere classified",excludes1,salmonella foodborne intoxication and infection (A02.-),A02.-,A02
1,A05,"Other bacterial foodborne intoxications, not elsewhere classified",excludes1,toxic effect of noxious foodstuffs (T61-T62),T61-T62,T61
1,A05.1,Botulism food poisoning,excludes1,infant botulism (A48.51),A48.51,A48
1,A05.1,Botulism food poisoning,excludes1,wound botulism (A48.52),A48.52,A48
1,A06,Amebiasis,excludes1,other protozoal intestinal diseases (A07.-),A07.-,A07
1,A08,Viral and other specified intestinal infections,excludes1,"influenza with involvement of gastrointestinal tract (J09.X3, J10.2, J11.2)",J09.X3; J10.2; J11.2,J09; J10; J11
1,A09,"Infectious gastroenteritis and colitis, unspecified",excludes1,colitis NOS (K52.9),K52.9,K52
1,A09,"Infectious gastroenteritis and colitis, unspecified",excludes1,diarrhea NOS (R19.7),R19.7,R19
1,A09,"Infectious gastroenteritis and colitis, unspecified",excludes1,enteritis NOS (K52.9),K52.9,K52
1,A09,"Infectious gastroenteritis and colitis, unspecified",excludes1,gastroenteritis NOS (K52.9),K52.9,K52
1,A09,"Infectious gastroenteritis and colitis, unspecified",excludes1,"noninfective gastroenteritis and colitis, unspecified (K52.9)",K52.9,K52
1,Block A15-A19,Tuberculosis (A15-A19),excludes1,congenital tuberculosis (P37.0),P37.0,P37
1,Block A15-A19,Tuberculosis (A15-A19),excludes1,nonspecific reaction to test for tuberculosis without active tuberculosis (R76.1-),R76.1-,R76
