code,codeDotted,billable,category,shortTitle,longTitle
C7831,C78.31,true,C78,Secondary malignant neoplasm of larynx,Secondary malignant neoplasm of larynx
C7832,C78.32,true,C78,Secondary malignant neoplasm of pharynx,Secondary malignant neoplasm of pharynx
C7983,C79.83,true,C79,Secondary malignant neoplasm of oral cavity,Secondary malignant neoplasm of oral cavity
D6911,D69.11,true,D69,Glanzmann thrombasthenia,Glanzmann thrombasthenia
D6919,D69.19,true,D69,Other qualitative platelet defects,Other qualitative platelet defects
E8983,E89.83,false,E89,Postprocedural hypoglycemia following a procedure,Postprocedural hypoglycemia following a procedure
E89830,E89.830,true,E89,Post bariatric hypoglycemia,Post bariatric hypoglycemia
E89838,E89.838,true,E89,Other postprocedural hypoglycemia,Other postprocedural hypoglycemia
F64A,F64.A,true,F64,"Gender identity disorder, in remission","Gender identity disorder, in remission"
I4200,I42.00,true,I42,"Dilated cardiomyopathy, unspecified","Dilated cardiomyopathy, unspecified"
I4201,I42.01,true,I42,Familial-genetic dilated cardiomyopathy,Familial-genetic dilated cardiomyopathy
I4209,I42.09,true,I42,Other dilated cardiomyopathy,Other dilated cardiomyopathy
I4281,I42.81,true,I42,Arrhythmogenic cardiomyopathy,Arrhythmogenic cardiomyopathy
I4289,I42.89,true,I42,Other cardiomyopathies not elsewhere classified,Other cardiomyopathies not elsewhere classified
I4722,I47.22,true,I47,Catecholaminergic polymorphic ventricular tachycardia [CPVT],Catecholaminergic polymorphic ventricular tachycardia [CPVT]
I4981,I49.81,true,I49,Brugada syndrome,Brugada syndrome
I4982,I49.82,true,I49,Ventricular bigeminy,Ventricular bigeminy
I4989,I49.89,true,I49,Other specified cardiac arrhythmias not elsewhere classified,Other specified cardiac arrhythmias not elsewhere classified
J3483,J34.83,false,J34,Odontogenic sinusitis,Odontogenic sinusitis
J34830,J34.830,true,J34,"Odontogenic sinusitis, maxillary sinus","Odontogenic sinusitis, maxillary sinus"
J34831,J34.831,true,J34,"Odontogenic sinusitis, ethmoid sinus","Odontogenic sinusitis, ethmoid sinus"
J34832,J34.832,true,J34,"Odontogenic sinusitis, frontal sinus","Odontogenic sinusitis, frontal sinus"
J34833,J34.833,true,J34,"Odontogenic sinusitis, sphenoid sinus","Odontogenic sinusitis, sphenoid sinus"
J34839,J34.839,true,J34,"Odontogenic sinusitis, unspecified","Odontogenic sinusitis, unspecified"
J4B,J4B,true,J4B,Pulmonary mycetoma,Pulmonary mycetoma
K31B,K31.B,true,K31,"Hypertrophic pyloric stenosis, in childhood","Hypertrophic pyloric stenosis, in childhood"
K6A,K6A,false,K6A,"Diseases of the pelvis, not elsewhere classified","Diseases of the pelvis, not elsewhere classified"
K6A0,K6A.0,false,K6A,Pelvic abscess,Pelvic abscess
K6A01,K6A.01,true,K6A,Prevesical abscess,Prevesical abscess
K6A09,K6A.09,true,K6A,Other pelvic abscess,Other pelvic abscess
K6A8,K6A.8,true,K6A,"Other diseases of the pelvis, not elsewhere classified","Other diseases of the pelvis, not elsewhere classified"
K740A,K74.0A,true,K74,"Hepatic fibrosis, moderate fibrosis","Hepatic fibrosis, moderate fibrosis"
